t,v_ref,w_ref,delta_ref,v_cmd,delta_cmd,v_meas,delta_meas,v_err,delta_err,clamped,vel_rate_limited,steer_rate_limited,fl,fr,rl,rr,steer_l,steer_r,heading,curvature,x,y
0.32000000,1.00000000,0.50000000,0.46364761,0.21385000,0.25600000,0.11235000,0.25600000,0.88765000,0.20764761,0,0,1,13.04136493,15.10934225,12.54509413,14.68313354,0.27675773,0.23808366,0.00311273,0.26174300,0.01859198,0.00002411
0.33000000,1.00000000,0.50000000,0.46364761,0.21735000,0.26400000,0.11585000,0.26400000,0.88415000,0.19964761,0,0,1,13.25356657,15.41951093,12.71485586,14.95900564,0.28609387,0.24501001,0.00341642,0.27030920,0.01975047,0.00002807
0.34000000,1.00000000,0.50000000,0.46364761,0.22085000,0.27200000,0.11935000,0.27200000,0.88065000,0.19164761,0,0,1,13.46690441,15.73273203,12.88331577,15.23617957,0.29547142,0.25190943,0.00373954,0.27891252,0.02094396,0.00003253
0.35000000,1.00000000,0.50000000,0.46364761,0.22435000,0.28000000,0.12285000,0.28000000,0.87715000,0.18364761,0,0,1,13.68145022,16.04906534,13.05046062,15.51466856,0.30489020,0.25878229,0.00408274,0.28755433,0.02217245,0.00003755
0.36000000,1.00000000,0.50000000,0.46364761,0.22785000,0.28800000,0.12635000,0.28800000,0.87365000,0.17564761,0,0,1,13.89727731,16.36857182,13.21627673,15.79448630,0.31435002,0.26562898,0.00444666,0.29623598,0.02343594,0.00004317
0.37000000,1.00000000,0.50000000,0.46364761,0.23135000,0.29600000,0.12985000,0.29600000,0.87015000,0.16764761,0,0,1,14.11446053,16.69131366,13.38074993,16.07564693,0.32385065,0.27244989,0.00483198,0.30495889,0.02473442,0.00004944
0.38000000,1.00000000,0.50000000,0.46364761,0.23485000,0.30400000,0.13335000,0.30400000,0.86665000,0.15964761,0,0,1,14.33307636,17.01735433,13.54386560,16.35816511,0.33339186,0.27924538,0.00523935,0.31372446,0.02606790,0.00005643
0.39000000,1.00000000,0.50000000,0.46364761,0.23835000,0.31200000,0.13685000,0.31200000,0.86315000,0.15164761,0,0,1,14.55320293,17.34675865,13.70560859,16.64205596,0.34297339,0.28601586,0.00566945,0.32253414,0.02743638,0.00006419
0.40000000,1.00000000,0.50000000,0.46364761,0.24185000,0.32000000,0.14035000,0.32000000,0.85965000,0.14364761,0,0,1,14.77492010,17.67959278,13.86596327,16.92733512,0.35259496,0.29276169,0.00612295,0.33138941,0.02883986,0.00007278
0.41000000,1.00000000,0.50000000,0.46364761,0.24535000,0.32800000,0.14385000,0.32800000,0.85615000,0.13564761,0,0,1,14.99830951,18.01592437,14.02491349,17.21401874,0.36225627,0.29948327,0.00660055,0.34029175,0.03027832,0.00008227
0.42000000,1.00000000,0.50000000,0.46364761,0.24885000,0.33600000,0.14735000,0.33600000,0.85265000,0.12764761,0,0,1,15.22345461,18.35582254,14.18244255,17.50212352,0.37195699,0.30618097,0.00710294,0.34924269,0.03175179,0.00009274
0.43000000,1.00000000,0.50000000,0.46364761,0.25235000,0.34400000,0.15085000,0.34400000,0.84915000,0.11964761,0,0,1,15.45044078,18.69935797,14.33853323,17.79166668,0.38169678,0.31285518,0.00763081,0.35824380,0.03326024,0.00010425
0.44000000,1.00000000,0.50000000,0.46364761,0.25585000,0.35200000,0.15435000,0.35200000,0.84565000,0.11164761,0,0,1,15.67935532,19.04660296,14.49316771,18.08266604,0.39147528,0.31950627,0.00818488,0.36729665,0.03480369,0.00011688
0.45000000,1.00000000,0.50000000,0.46364761,0.25935000,0.36000000,0.15785000,0.36000000,0.84215000,0.10364761,0,0,1,15.91028757,19.39763149,14.64632761,18.37513998,0.40129208,0.32613464,0.00876586,0.37640285,0.03638213,0.00013072
0.46000000,1.00000000,0.50000000,0.46364761,0.26285000,0.36800000,0.16135000,0.36800000,0.83865000,0.09564761,0,0,1,16.14332894,19.75251928,14.79799396,18.66910747,0.41114679,0.33274065,0.00937447,0.38556407,0.03799556,0.00014585
0.47000000,1.00000000,0.50000000,0.46364761,0.26635000,0.37600000,0.16485000,0.37600000,0.83515000,0.08764761,0,0,1,16.37857300,20.11134388,14.94814716,18.96458812,0.42103895,0.33932470,0.01001145,0.39478197,0.03964398,0.00016235
0.48000000,1.00000000,0.50000000,0.46364761,0.26985000,0.38400000,0.16835000,0.38400000,0.83165000,0.07964761,0,0,1,16.61611553,20.47418470,15.09676697,19.26160214,0.43096811,0.34588715,0.01067754,0.40405829,0.04132738,0.00018032
0.49000000,1.00000000,0.50000000,0.46364761,0.27335000,0.39200000,0.17185000,0.39200000,0.82815000,0.07164761,0,0,1,16.85605460,20.84112313,15.24383254,19.56017042,0.44093378,0.35242840,0.01137349,0.41339477,0.04304577,0.00019987
0.50000000,1.00000000,0.50000000,0.46364761,0.27685000,0.40000000,0.17535000,0.40000000,0.82465000,0.06364761,0,0,1,17.09849067,21.21224258,15.38932229,19.86031451,0.45093547,0.35894881,0.01210006,0.42279322,0.04479914,0.00022109
